商品名称,价格,厂商指导价,评分,评价数量,咨询数量,商品图片,专区,分类,国别,商品链接,商品编号,商品规格,主要原料,营养成分,适用对象,颗粒大小,口味配方,出厂保质期,重量,市场价
宝路Pedigree 鸡肉蔬菜口味中小型犬成犬粮 1.8kg,¥48.00,¥60.36,4.6,961,0,//img-new.boqiicdn.com/Data/Shop/0/29/2977/shoppicpath11595925110_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-2977.html,101816,1.8kg,原粒谷物、精选肉类和肉粉、玉米蛋白粉、,粗蛋白质≥23%，粗脂肪≥11%，粗纤维≤5%，水分≤10%，粗,中小型成犬,小颗粒,鸡肉,18个月,1.84KG,￥60.4
宝路Pedigree 牛肉蔬菜口味大型犬成犬粮 1.8kg,¥48.00,¥60.36,4.8,147,1,//img-new.boqiicdn.com/Data/Shop/0/29/2978/shoppicpath11595924631_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-2978.html,101804,1.8kg,牛肉、鸡肉、蔬菜、谷物,粗蛋白质≥20%、粗脂肪≥11%、钙≥0.8%,大型犬成犬,标准,牛肉,18个月,1.82KG,￥60.4
日本伊纳宝 妙好猫用鲣鱼蟹肉棒与鸡肉猫湿粮 80g,¥4.80,¥5.76,4.9,288,0,//img-new.boqiicdn.com/Data/Shop/0/29/2980/shoppicpath11555501390_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪零食,罐头湿粮,https://shop.boqii.com/product-2980.html,142925,80g,,,猫咪,,鲣鱼蟹肉棒与鸡肉,24个月,0.09KG,￥5.8
日本伊纳宝 妙好鲣鱼小银鱼与鸡肉猫湿粮 80g,¥4.80,¥5.76,4.9,389,0,//img-new.boqiicdn.com/Data/Shop/0/29/2981/shoppicpath11555501530_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪零食,罐头湿粮,https://shop.boqii.com/product-2981.html,142927,80g,,,全猫,,鲣鱼小银鱼鸡肉,24个月,0.09KG,￥5.8
日本伊纳宝 妙好猫用鲣鱼鲣鱼松与鸡肉猫湿粮 80g,¥4.80,¥5.76,4.9,203,0,//img-new.boqiicdn.com/Data/Shop/0/29/2982/shoppicpath11555501642_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪零食,罐头湿粮,https://shop.boqii.com/product-2982.html,142926,80g,,,猫猫,,鱼肉,,0.09KG,￥5.8
日本伊纳宝 低脂肪鸡小胸肉与牛肉成犬用湿粮包 80g,¥4.80,¥5.76,5.0,161,0,//img-new.boqiicdn.com/Data/Shop/0/29/2983/shoppicpath11544695869_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,罐头湿粮,https://shop.boqii.com/product-2983.html,112921,80g,,,全犬种,,鸡肉味,2年,0.09KG,￥5.8
日本伊纳宝 低脂肪鸡肉与鸡软骨犬用湿粮 80g,¥4.80,¥5.76,4.9,189,0,//img-new.boqiicdn.com/Data/Shop/0/29/2985/shoppicpath11517377873_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,罐头湿粮,https://shop.boqii.com/product-2985.html,112910,80g,,,犬,,鸡肉,2年,0.09KG,￥5.8
日本伊纳宝 低脂肪鸡肉混合蔬菜成犬用湿粮包 80g,¥4.80,¥5.76,4.9,109,0,//img-new.boqiicdn.com/Data/Shop/0/29/2986/shoppicpath11577073321_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,罐头湿粮,https://shop.boqii.com/product-2986.html,112915,80g,,,犬,,鸡肉,2年,0.09KG,￥5.8
日本伊纳宝 鸡小胸肉与鸡肝幼犬用湿粮包 80g,¥4.80,¥5.76,4.8,129,0,//img-new.boqiicdn.com/Data/Shop/0/29/2989/shoppicpath11517377849_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,罐头湿粮,https://shop.boqii.com/product-2989.html,112903,80g,,,幼犬,,鸡肉味,2年,0.09KG,￥5.8
日本伊纳宝 妙好金味道扇贝味鸡小胸肉猫湿粮 60g,¥3.30,¥3.96,5.0,772,0,//img-new.boqiicdn.com/Data/Shop/0/29/2999/shoppicpath11516850800_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪零食,罐头湿粮,https://shop.boqii.com/product-2999.html,142924,60g,,,全猫,,扇贝鸡小胸,24个月,0.07KG,￥4.0
日本伊纳宝 妙好金味道鸡小胸肉与鲣鱼节猫湿粮包 60g,¥3.30,¥3.96,5.0,390,0,//img-new.boqiicdn.com/Data/Shop/0/30/3000/shoppicpath11577686096_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪零食,罐头湿粮,https://shop.boqii.com/product-3000.html,142902,60g,,,成猫,,鸡小胸，鲣鱼,24个月,0.07KG,￥4.0
日本伊纳宝 妙好金味道鸡小胸肉与宗田鲣鱼猫湿粮包 60g,¥3.30,¥3.96,5.0,299,1,//img-new.boqiicdn.com/Data/Shop/0/30/3001/shoppicpath11517450013_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪零食,罐头湿粮,https://shop.boqii.com/product-3001.html,142919,60g,,,全猫,,鸡胸肉、鲣鱼,2年,0.07KG,￥4.0
日本伊纳宝 金味道鸡小胸肉与小银鱼猫湿粮包 60g,¥3.30,¥3.96,4.9,775,0,//img-new.boqiicdn.com/Data/Shop/0/30/3002/shoppicpath11516850777_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪零食,罐头湿粮,https://shop.boqii.com/product-3002.html,142912,60g,,,成猫,,鸡小胸+小银鱼,24个月,0.07KG,￥4.0
日本伊纳宝 金味道鸡小胸肉与牛肉猫湿粮包 60g,¥3.30,¥3.96,5.0,511,0,//img-new.boqiicdn.com/Data/Shop/0/30/3003/shoppicpath11517449990_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪零食,罐头湿粮,https://shop.boqii.com/product-3003.html,142911,60g,,,猫,,鸡小胸肉与牛肉,18个月,0.07KG,￥4.0
法国皇家Royal Canin 吉娃娃成犬粮 1.5kg,¥149.00,¥163.90,5.0,394,2,//img-new.boqiicdn.com/Data/Shop/0/30/3059/shoppicpath11561537631_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-3059.html,100103,1.5kg,小麦、禽肉骨粉、谷脘粉、牛油、大米、狗粮口味增味剂、鱼油、维生素,粗蛋白≥28%、粗脂肪≥13%、赖氨酸≥0.8%、钙≥1.1%、,8月龄以上吉娃娃成犬,迷你颗粒,禽肉混合口味,18个月,1.50KG,￥163.9
法国皇家Royal Canin 小型犬成犬粮 800g,¥57.00,¥62.70,4.9,261,2,//img-new.boqiicdn.com/Data/Shop/0/30/3060/shoppicpath11568012158_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-3060.html,100104,800g ,禽肉骨粉、大米、小麦,粗蛋白质≥24%、粗脂肪≥14%、钙≥0.71%,小型犬成犬,标准粒,鸡肉,18个月,0.84KG,￥62.7
法国皇家Royal Canin 1-4个月幼猫奶糕粮 400g BK34,¥36.00,¥48.75,5.0,7987,3,//img-new.boqiicdn.com/Data/Shop/0/30/3097/shoppicpath11616396098_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪主粮,国产粮,https://shop.boqii.com/product-3097.html,130112,400g,鸡肉粉、鸡肉骨粉、鸭肉粉、鸭肉骨粉、大米、小麦、谷脘粉、鱼油、鸡,粗蛋白≥24%、粗脂肪≥11%、赖氨酸≥0.8%、钙≥0.8%、,离乳期幼猫、怀孕及哺乳期母猫,小颗粒,禽肉鱼肉混合口味,18个月,0.43KG,￥48.8
法国皇家Royal Canin 小型犬幼犬粮 800g,¥59.00,¥64.90,4.9,298,2,//img-new.boqiicdn.com/Data/Shop/0/30/3098/shoppicpath11568012612_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-3098.html,100108,800g,大米、禽肉骨粉、鸡油,粗蛋白质≥28%、粗脂肪≥17.5%、钙≥1%,小型犬幼犬,小颗粒,鸡肉,18个月,0.80KG,￥64.9
法国皇家Royal Canin 中型犬成犬粮 4kg,¥180.00,¥198.00,5.0,1093,1,//img-new.boqiicdn.com/Data/Shop/0/30/3099/shoppicpath11568016342_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-3099.html,100101,4kg,稻米、脱水家禽肉、脱水家禽肝脏、酵母、微量元素等,粗蛋白≥28%、粗脂肪≥13%、赖氨酸≥0.8%、钙≥1.1%、,12月龄以上中型成犬,适中颗粒,禽肉混合口味,18个月,4.07KG,￥198.0
法国皇家Royal Canin 中型犬幼犬粮 4kg,¥197.00,¥216.70,4.9,836,6,//img-new.boqiicdn.com/Data/Shop/0/31/3100/shoppicpath11616382586_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-3100.html,100102,4kg,稻米、脱水家禽肉、脱水家禽肝脏、酵母、微量元素等,粗蛋白≥28%、粗脂肪≥13%、赖氨酸≥0.8%、钙≥1.1%、,中型犬幼犬,适中颗粒,禽肉混合口味,18个月,4.07KG,￥216.7
法国皇家Royal Canin 泰迪贵宾幼犬粮 500g,¥50.00,¥55.00,4.9,340,7,//img-new.boqiicdn.com/Data/Shop/0/31/3162/shoppicpath11617159033_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-3162.html,100111,500g,禽肉骨粉、小麦、鸡油,粗蛋白质≥30%、粗脂肪≥16.6%、钙≥0.96%,贵宾幼犬,小颗粒,鸡肉,18个月,0.52KG,￥55.0
开饭乐 营养3+1鳕鱼片牛排成犬粮 10kg,¥279.00,¥372.00,5.0,444,1,//img-new.boqiicdn.com/Data/Shop/0/31/3181/shoppicpath11602215336_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-3181.html,101904,10kg,牛肉、玉米、小麦,粗蛋白质≥20%、粗脂肪≥12%、钙≥1.0%,成犬,标准粒,牛肉,18个月,10.31KG,￥372.0
惜时Seeds 猫扑喵喵纯金枪鱼猫罐头 170g,,,4.9,506,1,//img-new.boqiicdn.com/Data/Shop/0/31/3187/shoppicpath11554797031_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪零食,罐头湿粮,https://shop.boqii.com/product-3187.html,143001,170g,,,全猫,,金枪鱼,36个月,0.21KG,￥6.0
惜时Seeds 猫扑喵喵猫金枪鱼鲣鱼花猫罐头 170g,,,4.8,299,1,//img-new.boqiicdn.com/Data/Shop/0/31/3188/shoppicpath11554797406_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪零食,罐头湿粮,https://shop.boqii.com/product-3188.html,143004,170g,,,全猫,,金枪鱼+鲣鱼,36个月,0.21KG,￥6.0
惜时Seeds 猫扑喵喵金枪鱼丁香鱼猫罐头 170g,,,4.8,610,2,//img-new.boqiicdn.com/Data/Shop/0/31/3189/shoppicpath11554797154_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪零食,罐头湿粮,https://shop.boqii.com/product-3189.html,143002,170g,,,猫,,金枪鱼+丁香鱼,3年,0.17KG,￥6.0
宝路Pedigree  大型犬成犬洁齿棒 125g 狗零食,¥15.59,¥17.10,4.8,884,2,//img-new.boqiicdn.com/Data/Shop/0/33/3311/shoppicpath11615446988_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,磨牙洁齿,https://shop.boqii.com/product-3311.html,121801,125g,,,成犬,,鸡肉,18个月,0.13KG,￥17.1
BOTH 幼猫幼犬怀孕犬猫山羊奶粉 450g 提高免疫力,¥118.00,¥122.50,4.9,3869,14,//img-new.boqiicdn.com/Data/Shop/0/35/3512/shoppicpath11555297693_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,营养保健,综合营养,https://shop.boqii.com/product-3512.html,1510603,,,,犬猫通用,,,24个月,0.56KG,￥122.5
金赏Golden 金枪鱼味猫罐头 170g,¥4.15,¥4.60,4.9,2811,3,//img-new.boqiicdn.com/Data/Shop/0/35/3528/shoppicpath11573209670_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪零食,罐头湿粮,https://shop.boqii.com/product-3528.html,1412201,170g,,,全猫,,金枪鱼,6个月以上,0.22KG,￥4.6
金赏Golden 金枪鱼丁香鱼味猫罐头 170g,¥4.15,¥4.60,4.9,2436,0,//img-new.boqiicdn.com/Data/Shop/0/35/3529/shoppicpath11517798483_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪零食,罐头湿粮,https://shop.boqii.com/product-3529.html,1412202,170g,,,全猫,,金枪鱼+丁香鱼,36个月,0.21KG,￥4.6
金赏Golden 金枪鱼蟹肉味猫罐头 170g,¥4.15,¥4.60,4.9,2117,1,//img-new.boqiicdn.com/Data/Shop/0/35/3530/shoppicpath11517798504_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪零食,罐头湿粮,https://shop.boqii.com/product-3530.html,1412203,170g,,,全猫,,金枪鱼+蟹肉,6个月以上,0.22KG,￥4.6
金赏Golden 金枪鱼鸡肉丝味猫罐头 170g,¥4.15,¥4.60,4.9,3654,2,//img-new.boqiicdn.com/Data/Shop/0/35/3531/shoppicpath11517798527_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪零食,罐头湿粮,https://shop.boqii.com/product-3531.html,1412204,170g,,,全猫,,金枪鱼+鸡肉丝,6个月以上,0.20KG,￥4.6
BOTH 幼犬山羊奶果冻布丁狗零食 15g*15粒,¥22.00,¥27.50,4.9,472,4,//img-new.boqiicdn.com/Data/Shop/0/35/3573/shoppicpath11553233704_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,奶酪饼干,https://shop.boqii.com/product-3573.html,1210601,15g*15粒,,,幼犬,,山羊奶,18个月,0.25KG,￥27.5
BOTH 幼犬山羊奶果冻布丁狗零食 15g*50粒桶装,¥62.00,¥77.50,4.9,777,2,//img-new.boqiicdn.com/Data/Shop/0/35/3574/shoppicpath11553235351_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,奶酪饼干,https://shop.boqii.com/product-3574.html,1210602,16g*50,,,12月龄以下幼犬,,羊奶布丁果冻,18个月,1.03KG,￥77.5
BOTH 成犬山羊奶果冻布丁狗零食 15g*15粒,¥19.00,¥23.75,4.9,1049,1,//img-new.boqiicdn.com/Data/Shop/0/35/3575/shoppicpath11553235449_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,奶酪饼干,https://shop.boqii.com/product-3575.html,1210603,16g*15粒,,,成犬,,羊奶,18个月,0.26KG,￥23.8
BOTH 成犬山羊奶果冻布丁狗零食 15g*50粒桶装,¥56.00,¥70.00,4.9,475,0,//img-new.boqiicdn.com/Data/Shop/0/35/3576/shoppicpath11553235566_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,奶酪饼干,https://shop.boqii.com/product-3576.html,1210604,16g*50,,,成犬,,羊奶布丁果冻,18个月,1.05KG,￥70.0
普瑞纳 专业营养配方幼犬怀孕犬粮 15kg,¥379.00,¥416.90,4.9,304,6,//img-new.boqiicdn.com/Data/Shop/0/36/3646/shoppicpath11540870080_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-3646.html,101214,15kg,牛肉骨粉、鸡肉粉、鸡肝脏粉、鱼粉、牛油、鸡油,粗蛋白≥31%，粗脂肪≥15%，钙≥1.2%,幼犬怀孕母犬,标准,鸡肉,18个月,15.17KG,￥416.9
风来客 毫棒混合装洁齿磨牙骨咬胶狗零食2寸 270g（30只装）,¥26.80,¥29.50,4.9,3004,4,//img-new.boqiicdn.com/Data/Shop/0/37/3772/shoppicpath11540374321_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,磨牙洁齿,https://shop.boqii.com/product-3772.html,124468,270g(2寸/30只),,,3月以上犬,,牛肉鸡肉牛奶,24个月,0.27KG,￥29.5
法国皇家Royal Canin 中型犬幼犬离乳期奶糕粮 4kg,¥291.00,¥320.10,5.0,356,2,//img-new.boqiicdn.com/Data/Shop/0/38/3823/shoppicpath11616395391_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-3823.html,100181,4kg,鸡肉粉、鸡肉骨粉,,怀孕后期、哺乳期母犬和离乳期幼犬,标准粒,鸡肉,18个月,4.09KG,￥320.1
犬心保 犬用体内驱虫 口服 适用11kg以下小型犬 6粒整盒/6个月剂量 美国进口,¥210.00,¥252.00,5.0,5429,12,//img-new.boqiicdn.com/Data/Shop/0/38/3882/shoppicpath11603447453_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,医疗护理,内外驱虫,https://shop.boqii.com/product-3882.html,1715701,,,,小型犬,,,3年,0.05KG,￥252.0
犬心保 犬用体内驱虫 口服 适用11kg以下小型犬 单粒/1个月剂量 美国进口,¥39.00,¥47.00,5.0,7092,8,//img-new.boqiicdn.com/Data/Shop/0/38/3883/shoppicpath11603447716_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,医疗护理,内外驱虫,https://shop.boqii.com/product-3883.html,1715702,,,,小型犬,,,3年,0.03KG,￥47.0
犬心保  犬用体内驱虫 口服 适用12kg-22kg中型犬 6粒整盒/6个月剂量 美国进口,¥250.00,¥300.00,5.0,1636,5,//img-new.boqiicdn.com/Data/Shop/0/38/3884/shoppicpath11603447789_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,医疗护理,内外驱虫,https://shop.boqii.com/product-3884.html,1715703,,,,中型犬,,,3年,0.06KG,￥300.0
犬心保 犬用体内驱虫 口服 适用12kg-22kg中型犬 单粒/1个月剂量 美国进口,¥47.00,¥57.00,5.0,2218,3,//img-new.boqiicdn.com/Data/Shop/0/38/3885/shoppicpath11603449227_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,医疗护理,内外驱虫,https://shop.boqii.com/product-3885.html,1715704,,,,中型犬,,,3年,0.02KG,￥57.0
犬心保  犬用体内驱虫 口服 适用23kg-45kg大型犬 6粒整盒/6个月剂量 美国进口,¥290.00,¥348.00,5.0,1538,5,//img-new.boqiicdn.com/Data/Shop/0/38/3886/shoppicpath11603449300_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,医疗护理,内外驱虫,https://shop.boqii.com/product-3886.html,1715705,,,,22kg-45kg的中型犬,,,3年,0.07KG,￥348.0
犬心保 犬用体内驱虫 口服 适用23kg-45kg大型犬 单粒/1个月剂量 美国进口,¥53.00,¥63.60,5.0,2315,3,//img-new.boqiicdn.com/Data/Shop/0/38/3887/shoppicpath11603449383_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,医疗护理,内外驱虫,https://shop.boqii.com/product-3887.html,1715706,,,,22-45kg的大型犬,,,3年,0.02KG,￥63.6
风来客 毫棒鸡肉味洁齿磨牙骨咬胶狗零食2寸 270g（30只装）,¥26.80,¥29.50,4.9,268,1,//img-new.boqiicdn.com/Data/Shop/0/39/3974/shoppicpath11540374459_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,磨牙洁齿,https://shop.boqii.com/product-3974.html,124469,270g,,,成犬,,鸡肉,2年,0.28KG,￥29.5
风来客 毫棒牛肉味洁齿磨牙骨咬胶狗零食2寸 270g（30只装）,¥26.80,¥29.50,4.9,313,1,//img-new.boqiicdn.com/Data/Shop/0/39/3975/shoppicpath11572335002_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,磨牙洁齿,https://shop.boqii.com/product-3975.html,124470,270g,,,3月龄以上犬,,鸡肉,24个月,0.28KG,￥29.5
伟嘉 海洋鱼味成猫罐头湿粮 400g 无添加 适口性佳,¥13.90,¥17.76,4.8,425,0,//img-new.boqiicdn.com/Data/Shop/0/39/3984/shoppicpath11606463346_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪零食,罐头湿粮,https://shop.boqii.com/product-3984.html,142125,400g,,,猫,,鱼味,15年,0.45KG,￥17.8
伟嘉 海洋鱼味低盐清淡幼猫粮 1.2kg,¥43.60,¥48.00,4.9,1698,1,//img-new.boqiicdn.com/Data/Shop/0/39/3985/shoppicpath11582097001_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪主粮,国产粮,https://shop.boqii.com/product-3985.html,132123,1.2kg,精选肉类、鳕鱼、大马哈鱼、精制蛋白质粉、卵磷脂、必须氨基酸、谷物,粗蛋白≥27%、粗脂肪≥10%、牛磺酸≥0.1%、钙≤1.8%、,2-12月幼猫,小颗粒,海洋鱼味,18个月,1.23KG,￥48.0
宝路Pedigree 牛肉蔬菜口味幼犬粮 1.3kg,¥37.30,¥49.20,4.6,1144,20,//img-new.boqiicdn.com/Data/Shop/0/39/3986/shoppicpath11600149435_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-3986.html,101817,1.3kg,原粒谷物、精选肉类及肉粉、玉米蛋白份、牛奶精华、维生素、矿物质等,粗蛋白≥26%、粗脂肪≥11%、钙≥1.1%、总磷≥0.9%,普通幼犬,适中颗粒,肉类奶蔬谷物,18个月,1.30KG,￥49.2
外贸宠物平板厕所（带垫板）大号,,,3.0,1,0,//img-new.boqiicdn.com/Data/Shop/0/39/3988/picpath21302493886_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,,,,https://shop.boqii.com/product-3988.html,2114103,,,,,,,,2.00KG,￥75.0
水族补发专用链接,,,4.3,7,0,//img-new.boqiicdn.com/Data/Shop/0/40/4069/picpath11376478772_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,,,,https://shop.boqii.com/product-4069.html,1816314,,,,,,,,0.01KG,￥1.3
日本多格漫Doggyman 蜂蜜味小馒头80g 狗零食训练奖励,¥9.80,¥10.80,5.0,165,0,//img-new.boqiicdn.com/Data/Shop/0/41/4145/shoppicpath11517380666_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,奶酪饼干,https://shop.boqii.com/product-4145.html,127619,80g,,,全犬,,蜂蜜,,0.09KG,￥10.8
日本多格漫Doggyman 鱼肉火腿肠7根装105g 训练 奖励狗零食,¥15.00,¥16.50,4.9,163,0,//img-new.boqiicdn.com/Data/Shop/0/41/4157/shoppicpath11517380706_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,肉类零食,https://shop.boqii.com/product-4157.html,127631,105g,,,3个月以上犬,,鱼肉味,18个月,0.13KG,￥16.5
日本多格漫Doggyman 鸡肉火腿肠20根装300g 训练 奖励 狗零食,¥35.00,¥38.50,4.9,765,0,//img-new.boqiicdn.com/Data/Shop/0/41/4187/shoppicpath11566790307_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,肉类零食,https://shop.boqii.com/product-4187.html,127673,"300g,20根",,,3月龄以上犬,,鸡肉,18个月,0.40KG,￥38.5
日本多格漫Doggyman 猫咪食谱金枪鱼块美毛猫零食 45g,¥10.00,¥11.00,4.7,73,0,//img-new.boqiicdn.com/Data/Shop/0/41/4199/shoppicpath11577080717_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪零食,肉类零食,https://shop.boqii.com/product-4199.html,127686,45g,,,猫猫,,鱼肉,,0.05KG,￥11.0
伟嘉 吞拿鱼及三文鱼味幼猫粮 1.2kg,¥43.60,¥48.00,4.9,1575,3,//img-new.boqiicdn.com/Data/Shop/0/42/4249/shoppicpath11582097226_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪主粮,国产粮,https://shop.boqii.com/product-4249.html,132126,1.2KG,谷物（小麦/玉米/小麦）、肉类（鸡肉粉/牛骨粉）、玉米蛋白粉、动,,幼猫,适中,吞拿鱼味及三文鱼味,18个月,1.23KG,￥48.0
法国皇家Royal Canin 英国短毛猫成猫粮10kg BS34,¥770.00,¥847.00,5.0,1281,7,//img-new.boqiicdn.com/Data/Shop/0/43/4329/shoppicpath11577264141_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪主粮,国产粮,https://shop.boqii.com/product-4329.html,130197,10KG,,,英短成猫,定制英短半弧形颗粒,鸡肉,18个月,10.17KG,￥847.0
法国皇家Royal Canin 英国短毛猫成猫粮2kg BS34,¥204.00,¥224.40,5.0,1234,3,//img-new.boqiicdn.com/Data/Shop/0/43/4330/shoppicpath11566285707_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪主粮,国产粮,https://shop.boqii.com/product-4330.html,130198,2KG,,,英短成猫,定制英短半弧型颗粒,鸡肉,18个月,2.04KG,￥224.4
多可特 三围网格狗狗厕所,,,4.6,348,0,//img-new.boqiicdn.com/Data/Shop/0/43/4336/shoppicpath11569823395_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,生活日用,排便清洁,https://shop.boqii.com/product-4336.html,2114101,,,,猫狗,,,,0.72KG,￥23.4
伟嘉 去毛球配方成猫猫粮 1.4kg,¥48.40,¥53.20,4.9,554,0,//img-new.boqiicdn.com/Data/Shop/0/43/4337/shoppicpath11582096347_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪主粮,国产粮,https://shop.boqii.com/product-4337.html,132113,1.4kg,精选肉类、鳕鱼及大马哈鱼肉、精制蛋白质粉、精炼油脂、卵磷脂、必需,粗蛋白≥20%、粗脂肪≥16%、钙≥1.2%,成猫,标准粒,鱼肉,18个月,1.44KG,￥53.2
维斯康 猫用速补综合营养膏 120.5g 怀孕手术后专用营养补充,¥65.00,¥78.00,4.9,1313,1,//img-new.boqiicdn.com/Data/Shop/0/43/4339/shoppicpath11570787991_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,保健营养,综合营养,https://shop.boqii.com/product-4339.html,1515213,,,,猫,,,2年,0.15KG,￥78.0
多可特 半封闭式经济型猫砂盆 送猫砂铲,¥23.90,¥26.30,4.7,838,1,//img-new.boqiicdn.com/Data/Shop/0/43/4363/shoppicpath11540533571_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫砂猫厕,猫咪厕所,https://shop.boqii.com/product-4363.html,2117001,长400mm*宽310mm*高110mm,,,猫,,,,0.48KG,￥26.3
宝路Pedigree 成犬狗饼干 250g 狗零食,¥11.50,¥13.80,4.8,374,1,//img-new.boqiicdn.com/Data/Shop/0/43/4392/shoppicpath11583913197_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,奶酪饼干,https://shop.boqii.com/product-4392.html,121818,250g,,,成犬,,鸡肉,18个月,0.27KG,￥13.8
