用户昵称,评分,内容,商品链接
二*,5分,皇家猫粮适口性不错，我是其他猫粮混合喂的，提高了口感。  ,https://shop.boqii.com/product-2431.html
m***0,5分,调理肠胃猫粮挺好，已经吃了两袋了，下次会再购！  ,https://shop.boqii.com/product-2431.html
m***0,5分,哈哈哈，性价比都是超值的，暂时还没发现缺点。  ,https://shop.boqii.com/product-2431.html
G***Z,5分,法国皇家ROYALCANlN全能优选肠道舒适型成猫粮，俺家五只宝贝的最爱，吃了停伐了，吃了还要吃！  ,https://shop.boqii.com/product-2431.html
梵***线,5分,猫咪爱吃，放心购买，我家猫咪埋头苦吃呀！先掺着旧粮吃，慢慢换……  ,https://shop.boqii.com/product-2433.html
m***5,5分,我也不知道说啥呀，反正，挺好的吧，猫粮压在一堆猫砂下面的  ,https://shop.boqii.com/product-2433.html
m***5,5分,快递一波三折后也算到了。双11囤粮所以试吃了一包正常，其实也多次购买了。包装箱破了，没有看到可以扫码开发票的清单。  ,https://shop.boqii.com/product-2433.html
m***9,5分,物流蛮快  吃过皇家另一款大包装的两次了  那款吃好了我家一只的黑下巴你敢信┐(´-｀)┌我都觉得油  可爱吧  不是第一次干这事了  ,https://shop.boqii.com/product-2433.html
g***n,5分,味咪拉肚子，医生推荐这款猫粮，先买了2包小的，似乎有效果，买了大包的。  ,https://shop.boqii.com/product-2433.html
G***Z,5分,皇家EP42猫粮，俺家五只纯种宝贝的最爱！  ,https://shop.boqii.com/product-2433.html
囡***2,5分,猫咪一直吃这个牌子的囗粮，主子爱吃，不错。  ,https://shop.boqii.com/product-2433.html
羊***串,5分,看到猫粮有活动，立马下单啦，给主子们囤货，查了防伪是正品，波奇棒棒哒，继续加油哦！  ,https://shop.boqii.com/product-2433.html
羊***串,5分,波奇搞活动，虽然活动下来价格不比其他店便宜，但至少品质有保证哈. 查了下防伪，是正品，希望多一些给力的活动哦  ,https://shop.boqii.com/product-2433.html
黑***子,5分,一直吃这个牌子 老猫经常呕吐  吃这款猫粮改善了很多！  ,https://shop.boqii.com/product-2433.html
天***闪,5分,一直在回购，挺好的。。  ,https://shop.boqii.com/product-2433.html
w***0,5分,韵达快递真垃圾，货物送来箱子是破的，还好里面货物没有破  ,https://shop.boqii.com/product-2433.html
萌*,5分,现在只要399.3元，请问可以退差不？买了才没几天  ,https://shop.boqii.com/product-2433.html
橘***0,5分,一直吃这款猫粮，猫猫爱吃，还赠了罐头，下次还会回购的。  ,https://shop.boqii.com/product-2434.html
涛***4,5分,我家宝贝儿就爱吃这个，谢谢了，快递也很快！  ,https://shop.boqii.com/product-2434.html
灬***灬,5分,价格公道，正品，一直吃皇家猫粮，早中晚猫碗都是吃光光的～适口性强～活动多，优惠多～  ,https://shop.boqii.com/product-2434.html
m***2,5分,喵子就爱吃这款和日清怀石，两种换着吃。双11tianmao店活动不给力，还是波奇靠谱。  ,https://shop.boqii.com/product-2434.html
m***9,5分,包装完好，皇家猫粮一直都是口碑不错的，四个猫咪都很喜欢吃，有活动就会屯货。  ,https://shop.boqii.com/product-2434.html
m***1,5分,给我家两个大宝贝买的，我们一直吃皇家小包装，质量安全，主子也爱吃。  ,https://shop.boqii.com/product-2434.html
杨***宝,5分,打算换这个牌子的粮，还没吃，如果适应再回购  ,https://shop.boqii.com/product-2434.html
m***1,5分,家里的2个主子5岁，吃皇家猫粮己有5年，2个主子挑嘴，所以选择这款猫粮，好评！  ,https://shop.boqii.com/product-2434.html
m***8,5分,主子刚满一岁，之前吃的皇家幼猫粮，换成猫粮选的这两种，掺一起吃，两种主子都吃得很香，满意！  ,https://shop.boqii.com/product-2434.html
橘***0,5分,喵喵很挑嘴，但就爱吃这款猫粮，体型也保持的很好。  ,https://shop.boqii.com/product-2434.html
G***Z,5分,皇家全能优选(口感型丿成猫粮ES35，色，香，味俱佳，咱家五只宝贝的最爱！  ,https://shop.boqii.com/product-2434.html
G***Z,5分,皇家猫粮，俺家五只不同种类猫咪的最爱，吃了还想吃。哈哈！  ,https://shop.boqii.com/product-2434.html
m***1,5分,这几年猫宝贝都是喜欢这个口味，继续支持！发货速度超棒！  ,https://shop.boqii.com/product-2434.html
C***~,5分,买了几年了，猫咪一直吃这个，其它粮都不吃。  ,https://shop.boqii.com/product-2436.html
m***8,5分,都很好，就是用德邦快递快递信息不更新，影响收快递，希望波奇沟通，或换快递合作  ,https://shop.boqii.com/product-2436.html
N***7,5分,业界良心，点赞~买了4袋都是质保期1910而且价格美丽~决定之后喵星人粮食必须波奇～(￣▽￣～)~  ,https://shop.boqii.com/product-2436.html
m***0,5分,店家，我想问一问。\n之前我给猫咪们从鱼和鸡换成吃猫粮，选的是同一种粮的2公斤/袋装，也是在你家买的，猫们吃了感觉接受程度不错，肠胃也没有问题。这次入手10公斤/袋装的，从开始吃，猫们都有呕吐现象，是怎么回事呢？有点小忧心，期待专业的指点。  ,https://shop.boqii.com/product-2436.html
老***。,5分,商品完好，送货较快，快递纸箱破损严重，要的发票也烂了一角，价格很划算，快递小哥很不错，下大雨还送上六楼，不错。口感型还不错，猫之前已经吃过这个，挑嘴的的确比较爱吃这个猫粮，是正品，比皇家官网卖的还便宜。总体满意。  ,https://shop.boqii.com/product-2436.html
m***0,5分,一如既往的又快又好，买了很多次相信波奇品质，非常好  ,https://shop.boqii.com/product-2436.html
m***7,5分,宝贝完好收到！一直在用此产品，主子喜欢，口感好方便干净，会无限回购！  ,https://shop.boqii.com/product-2436.html
蔡***丢,5分,我们家的三小只可喜欢吃了，每次吃饭的时候都是排着队吃。  ,https://shop.boqii.com/product-2436.html
囡***2,5分,很不错，在波奇商城购买多次，家里的主子爱子，也没有不良反应，还会回购  ,https://shop.boqii.com/product-2436.html
m***7,5分,发货速度到货速度很快。掺着英短专用猫粮吃，还不错。  ,https://shop.boqii.com/product-2436.html
赌***神,5分,价格实惠，适口性好，包装仔细，发货快，物超所值  ,https://shop.boqii.com/product-2436.html
m***5,5分,猫咪很喜欢吃，已经认准这个了，其它都不吃，  ,https://shop.boqii.com/product-2436.html
s***爸,5分,不错很好一直在波奇买、密封严实、以后还在你家买。  ,https://shop.boqii.com/product-2436.html
m***6,5分,小时候一直给狗狗买这个 但是xianzai吃的比较少了 不知道为啥啊啊啊啊啊啊  ,https://shop.boqii.com/product-2452.html
妲*,5分,我家狗子的最爱！好吃好玩好携带，日常训练奖励的最佳选择  ,https://shop.boqii.com/product-2452.html
许***喵,5分,很可爱的小馒头(想到了小时候吃的旺仔小馒头怎么回事)，买给家里狗子当零食逗着玩吃~~~  ,https://shop.boqii.com/product-2452.html
陈***钱,5分,很大一罐，而且没有破损，每个小馒头都很完整鸭  ,https://shop.boqii.com/product-2452.html
m***2,5分,不仅我家狗狗吃 我也吃  ... 哈哈哈哈哈哈哈  ,https://shop.boqii.com/product-2452.html
小***咪,5分,没想到节前就到了，虽然没有特别保护包装，但非常完整从桶外看没有发现碎  瓣！！！  ,https://shop.boqii.com/product-2452.html
请***羊,5分,很满意，打开一股奶香味，而且里面几乎没有碎的，狗狗爱吃  ,https://shop.boqii.com/product-2452.html
微*,5分,奶味很浓，这是第二只，第一只也喜欢吃它它的小馒头  ,https://shop.boqii.com/product-2452.html
高***星,5分,狗狗很喜欢，还用嘴戳我叫我给它吃呢，平时给它当零食吃挺不错的，大爱  ,https://shop.boqii.com/product-2452.html
w***。,5分,教小狗做动作，只需几个，就诱惑到它学会了～好开心！  ,https://shop.boqii.com/product-2452.html
m***3,5分,"超级好
便宜大碗 就是狗狗不爱吃  ",https://shop.boqii.com/product-2452.html
威*,5分,好  ,https://shop.boqii.com/product-2452.html
C***x,5分,好好好，囤货，小宝贝们很喜欢吃，支持波奇。  ,https://shop.boqii.com/product-2452.html
m***0,5分,狗子六岁了，一直吃的皇家狗粮，肠胃非常好，宠物医生推荐的  ,https://shop.boqii.com/product-2849.html
m***1,5分,挺好的，我们家洋洋特别喜欢吃，之前买的狗粮都不喜欢吃?下次还会回购~  ,https://shop.boqii.com/product-2849.html
c***婷,5分,狗狗很爱吃，发货也很快，价格也比某宝便宜，还能保证是正品。  ,https://shop.boqii.com/product-2849.html
小***豆,5分,我家狗宝子从小到大一直吃贵品牌的犬粮，毛色一直都是深咖啡色，宝子也非常爱吃，非常满意，五星好评，会一直回购下去的，有养深咖泰迪的朋友赶快下手吧。  ,https://shop.boqii.com/product-2849.html
m***7,5分,货已收到包装完好。第一次购买不知道我家非哥喜欢吃不  ,https://shop.boqii.com/product-2849.html
小***2,5分,我家狗狗换了好几种狗粮，现在一直在吃皇家，挺好的  ,https://shop.boqii.com/product-2849.html
m***0,5分,这个狗粮非常的好，然后就是我觉得应该是正品。  ,https://shop.boqii.com/product-2849.html
m***8,5分,自从换了皇家之后就不换其他狗粮啦，宝贝很爱吃  ,https://shop.boqii.com/product-2849.html
小***豆,5分,物流快，服务很到位，送货之前有电话确认的，货送到了楼上，值得给  ,https://shop.boqii.com/product-2849.html
隔***王,5分,好几年了，一直吃这个，记得以前还能一百出头买到，现在让某人搞得民不聊生，通货膨胀，贵了也是情理之中。很好  ,https://shop.boqii.com/product-2849.html
I***淼,5分,快递真的太快了，出乎意料，第一次买这个狗粮，吃吃看，喜欢吃的话以后就买这个了  ,https://shop.boqii.com/product-2849.html
小***明,5分,小明一直吃这个，它一直都不爱吃狗粮，一般我都要在狗粮上面加个鸡蛋黄或者水煮胡萝卜，水煮冬瓜什么的它才会把狗粮吃光光  ,https://shop.boqii.com/product-2849.html
墩***7,5分,已经是第n次买了，我家狗狗就喜欢吃这个牌子的  ,https://shop.boqii.com/product-2849.html
m***7,5分,第一次买来给家里6岁的猫咪试吃，它很喜欢！豆子大小和绝育猫粮差不多，成立方形，略酥脆一些，它现在牙口好，随年龄增长，会常买给它！图中左边是7岁以上猫粮，右边是绝育猫粮。  ,https://shop.boqii.com/product-2850.html
m***5,5分,一如既往的波奇，一如既往的买买?️?️?️  ,https://shop.boqii.com/product-2850.html
m***9,5分,包装完好，家里猫咪多，皇家猫粮是我家其中三个主子最爱吃的，所以只要有活动就各种口味都屯着。  ,https://shop.boqii.com/product-2850.html
嘎***子,5分,家里的两只猫一直吃的皇家猫粮，I27和S27，相信波奇，秒抢活动很划算。  ,https://shop.boqii.com/product-2850.html
m***9,5分,这个是个加冕的老猫吃的应该不错吧，不过也要换其他猫粮吃才行，否则营养不均衡。  ,https://shop.boqii.com/product-2850.html
m***9,5分,经常给家里面的老猫吃一只还不错，不过要混合其他猫粮才可以吃，太多了，容易黑下巴。总的来讲还是不错的。  ,https://shop.boqii.com/product-2850.html
H***7,5分,我的猫7岁了 专门给他订的老猫干粮 还没吃过 期待他爱吃  ,https://shop.boqii.com/product-2850.html
猫***人,5分,家里的一个猫不喜欢吃，一个很喜欢，可能还需要调配，不过猫粮做的很小，希望猫咪以后，喜欢吃!  ,https://shop.boqii.com/product-2850.html
m***1,5分,我们家的咪咪已经15岁了，就爱吃这个牌子的饭饭哦  ,https://shop.boqii.com/product-2850.html
m***4,5分,猫猫一直吃这个品牌有6年了，猫猫喜欢，现在是囤货中  ,https://shop.boqii.com/product-2850.html
龙***苗,5分,这款老年猫粮第一次买，试试给毛孩子吃，好吃再买啦  ,https://shop.boqii.com/product-2850.html
射***2,5分,就是给这胖猫吃的，9年的老猫了一直吃皇家牌子的  ,https://shop.boqii.com/product-2850.html
m***1,5分,我家猫咪已十五岁了，常吃这粮，非常习惯，身体棒棒哒！  ,https://shop.boqii.com/product-2850.html
短***肠,5分,用过金盾产品，效果不错。波奇活动划算，买2盒给狗狗备用！  ,https://shop.boqii.com/product-2920.html
伊***木,5分,买来给狗狗擦皮肤的，不知道有没有用，希望有用吧  ,https://shop.boqii.com/product-2920.html
玉***兔,5分,收到啦，狗狗最近皮肤病，希望能快点好起来！  ,https://shop.boqii.com/product-2920.html
秦***贝,5分,一如既往的好用，平时备着，到用时就知道它的好处了！  ,https://shop.boqii.com/product-2920.html
 ***王,5分,已经给狗狗用了，还不知道有没有效果，希望狗子可以快点好起来  ,https://shop.boqii.com/product-2920.html
m***3,5分,狗狗脚趾发炎，买来试试，效果有待验证。只是收货发现现在便宜了3元  ,https://shop.boqii.com/product-2920.html
咪***宠,5分,波奇网购物就是放心，物流送货真的很快就到了，赞?  ,https://shop.boqii.com/product-2920.html
米***胖,5分,第一次用，效果挺好的~买回来当天涂了一次，过几天毛都长出来了。  ,https://shop.boqii.com/product-2920.html
点***妈,5分,抢购活动，物美价廉，值得购买，是一次好的购物  ,https://shop.boqii.com/product-2920.html
点***妈,5分,抢购活动，物美价廉，值得购买，是一次好的购物  ,https://shop.boqii.com/product-2920.html
小***尼,5分,正品啊 用完第二天红包就小了 也不见狗狗挠了 家里狗狗的东西都是波奇网的 好评好评 认准波奇网 哈哈哈哈 正品啊 用完第二天红包就小了 也不见狗狗挠了 家里狗狗的东西都是波奇网的 好评好评 认准波奇网 哈哈哈哈  ,https://shop.boqii.com/product-2920.html
大***猫,5分,杀螨消炎膏，不知止痒效果如何，希望宝贝皮肤要健健康康，别再犯病。  ,https://shop.boqii.com/product-2920.html
歪***伱,5分,发货快，质量信得过，正品有防伪，价格合适，物流速度也快，非常满意，以后还会继续光顾，全5分好评！  ,https://shop.boqii.com/product-2920.html
m***6,5分,好好好好好好好好好好好好好好好好好好好好好好好好好好好好好  ,https://shop.boqii.com/product-2921.html
贱***了,5分,家里常备的滴耳油，上次买的过期了赶紧补上，平时给主子擦耳朵保持清洁。  ,https://shop.boqii.com/product-2921.html
M***.,5分,不错！物流挺快的，用了后耳朵好像没有虫子了  ,https://shop.boqii.com/product-2921.html
m***4,5分,秒杀买的，回来就给狗用了，狗子很享受按耳根的过程，有股淡淡的中药味，好评  ,https://shop.boqii.com/product-2921.html
怀***大,5分,"非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物  ",https://shop.boqii.com/product-2921.html
m***8,5分,虽然漏发货了，怪我没有及时发现这么久了客服还是给我及时补发了，好感动?做为波奇快三年的老粉丝了，我会一直支持波奇的♥大爱波奇哦(⸝⸝⸝ᵒ̴̶̷̥́ ⌑ ᵒ̴̶̷̣̥̀⸝⸝⸝)爱你三千万遍，还有谢谢布偶猫客服  ,https://shop.boqii.com/product-2921.html
囡***子,5分,比想象中要量大，日期什么的都没问题，回家给猫咪用  ,https://shop.boqii.com/product-2921.html
m***0,5分,知道波奇商城很久了，第一次在官方app上购物，现在宠物用品尤其是宠物饲料市场中鱼龙混杂，假货多过真货，让人不敢买。以后都在这里买了，专业的大商城，放心！  ,https://shop.boqii.com/product-2921.html
咖***乐,5分,这个耳油很好用的，我家狗狗用别的都没治好耳螨，用金盾的耳油治好了。  ,https://shop.boqii.com/product-2921.html
m***1,5分,用了几次好象沒这么痒了主要猫不配合最好有那种一用就好价贵也无所谓主要省事  ,https://shop.boqii.com/product-2921.html
m***4,5分,用了以后感觉耳道干净了，耳屎少了。  ,https://shop.boqii.com/product-2921.html
m***4,5分,很好 用了这个清洁的还抹了药膏 狗狗耳朵不挠了  ,https://shop.boqii.com/product-2921.html
m***6,5分,这个是家里养宠物必备品，囤货中！  ,https://shop.boqii.com/product-2921.html
山***7,5分,这个到货就用了，再观察效果。希望好起来哦。  ,https://shop.boqii.com/product-2922.html
m***6,5分,还没用，不知道效果，拆开看了哈就很小一瓶。  ,https://shop.boqii.com/product-2922.html
怀***大,5分,"质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物  ",https://shop.boqii.com/product-2922.html
土***友,5分,日期很新。正好用上。剃毛之后发现了狗狗有皮肤病。  ,https://shop.boqii.com/product-2922.html
酉***贝,5分,潮湿的夏季是狗宝皮肤出问题的高发季，买来备用  ,https://shop.boqii.com/product-2922.html
仙***5,5分,给狗狗用用试试希望能管用一直相信波奇 秒杀秒的特别合适还用波奇豆抵钱 有波奇没烦恼?  ,https://shop.boqii.com/product-2922.html
嘎***子,5分,好用，滴剂也很方便，活动价买的，小瓶也好储存，和氯霉素眼药水差不多大小。  ,https://shop.boqii.com/product-2922.html
歪***伱,5分,正品，发货快，质量信得过，价格合适，非常满意，以后还会继续光顾，全5分好评！  ,https://shop.boqii.com/product-2922.html
m***2,5分,买来还没有用过留着给猫咪备用，波奇买的肯定不错，就是比较迷你  ,https://shop.boqii.com/product-2922.html
茶***5,5分,不得不说一下，上次买的那瓶用的时候头子飞走了，然后一瓶几乎撒完，客服联系了我，然后给她拍照看了，又重新补发了一瓶，这次很好，希望喵能早点好  ,https://shop.boqii.com/product-2922.html
B***0,5分,刚打开瓶嘴就是坏的，挤不出药，正在联系客服解决，药本身的效果有待观察  ,https://shop.boqii.com/product-2922.html
c***猫,5分,一直支持波奇，家里三个狗子的东西都在波奇买  ,https://shop.boqii.com/product-2922.html
m***8,5分,非常不错，主子有点轻微的皮肤病，用了几次就好了  ,https://shop.boqii.com/product-2922.html
m***9,5分,家中常备药品，夏天皮肤病用很有效  ,https://shop.boqii.com/product-2923.html
丁***P,5分,狗子每年都要有点皮肤问题  皮特芬一直那么好用  ,https://shop.boqii.com/product-2923.html
l***9,5分,喜欢波奇 正品 发货快 包装完好  ,https://shop.boqii.com/product-2923.html
m***7,5分,这次买的皮特芬太划算了 店里一瓶都买不到 这次买了两瓶 还送益生菌！靠谱！  ,https://shop.boqii.com/product-2923.html
m***6,5分,非常的好非常的好非常的好比在外面买便宜很多  ,https://shop.boqii.com/product-2923.html
兰*,5分,非常好用，已经买好多吃了，猫咪经常玩水，爱得皮肤病！  ,https://shop.boqii.com/product-2923.html
m***0,5分,双十一秒杀的产品，价格跟划算质量看着还不错无破损  ,https://shop.boqii.com/product-2923.html
小***哥,5分,买来以防万一备用的，大品牌的东西比较放心。  ,https://shop.boqii.com/product-2923.html
m***8,5分,非常棒棒，趁着搞活动时候买的，狗狗常备点药挺好的，更何况我家小狗狗喜欢草地，备着吧，不嫌多  ,https://shop.boqii.com/product-2923.html
白*,5分,喷了两三次，不见它挠了。应该是有效的。就是物流显示有点奇怪，这是买一送一的，显示两张订单。容易晕。  ,https://shop.boqii.com/product-2923.html
狼***。,5分,波奇要没券的话真的是越来越贵，抵用券一用就很划算了，可能是因为黑卡和抵用券多的原因吧，把原价又提高了，不过价钱高不高其实是其次吧，最主要是东西的质量，现在给?子的东西假货太多了，希望波奇能一直保持产品质量吧。  ,https://shop.boqii.com/product-2923.html
兔***户,5分,蛮好用的 物流很快 首单价格很便宜 五星好评  ,https://shop.boqii.com/product-2923.html
K***0,5分,狗狗身上有点皮肤病，虽然不严重，但总是用嘴啃，好不了，给她套上伊丽莎白圈，每天喷点皮特芬，没几天就好了结痂了，效果不错哟！  ,https://shop.boqii.com/product-2923.html
m***1,5分,包装很好，真的很划算，平时买几大十用不了多久久用完了。新人9.9太划算了。  ,https://shop.boqii.com/product-2923.html
m***0,5分,我的可乐猫藓还没有好   但是用了皮特芬有点好了   这是第二瓶了…  ,https://shop.boqii.com/product-2923.html
丸***的,5分,真的很好用，捡到的流浪猫有轻微皮肤病，喷了大概半个月好了。狗狗好像也被轻微传染到，也喷了10多天，没有猫毛的地方慢慢长出毛啦。所以又买了个小的备用。图片上的猫咪的脚上现在已经长出毛咯。  ,https://shop.boqii.com/product-2923.html
m***6,5分,懒惰的狗狗自己不肯咬，要切开了才吃，磨牙棒成了零食棒，比超市便宜很多  ,https://shop.boqii.com/product-2975.html
m***4,5分,小奶狗7个月大了，特别挑食，第一次买这个零食，夏季天气炎热，狗狗胃口不好，但对这个它不拒食，吃完也没有不良反应，下次再来购买。  ,https://shop.boqii.com/product-2975.html
m***4,5分,狗仔很喜欢玩各种玩具呀 在波奇一直买好多玩具  ,https://shop.boqii.com/product-2975.html
m***6,5分,洁齿棒也是宝路的，狗子一天就能吃一袋，本来是只想先买两袋吃吃看的，现在完全肯定了狗子非常喜欢，还会再买的  ,https://shop.boqii.com/product-2975.html
m***6,5分,感谢朋友推荐，我在这里买东西第一次来买非常让我满意。  ,https://shop.boqii.com/product-2975.html
u***a,5分,狗狗爱吃，市面上奶酪棒的品牌鱼龙混杂，吃这个至少放心一点。  ,https://shop.boqii.com/product-2975.html
差***生,5分,我家傻狗很爱吃啊，一下就没了根，不敢给他吃太多，怕挑食  ,https://shop.boqii.com/product-2975.html
m***7,5分,狗狗抢着吃，想伸手拿开钙奶棒，它就低声冲你咆哮呢，从没见过它这样对我的。  ,https://shop.boqii.com/product-2975.html
我***兔,5分,好香  奶味  回来就给它一个  咬住就不放了  恐怕有人跟它抢  在尿垫上就开啃上了 哈哈  ,https://shop.boqii.com/product-2975.html
m***0,5分,买成小包装的了 量不是很大 总体来说还是不错的  ,https://shop.boqii.com/product-2975.html
开***铁,5分,以前大狗小时候爱吃 所以买来黑老二尝尝 就是价钱不算优惠  ,https://shop.boqii.com/product-2975.html
m***4,5分,昨天发货今日收到，狗狗好钟意吃，里面又送了抽奖卡，中了10蚊  ,https://shop.boqii.com/product-2975.html
m***5,5分,小袋的，狗狗还没吃，不知道味道，好的话还会回购。  ,https://shop.boqii.com/product-2975.html
l***e,5分,在直播间购买的非常便宜，还没有给小狗吃呢。但是宝路品牌很有名，也挺放心的。  ,https://shop.boqii.com/product-2976.html
m***8,5分,物流很快。快递小哥很尽心尽责。我们家黄小狗很喜欢。  ,https://shop.boqii.com/product-2976.html
m***0,5分,狗粮收到了，狗狗很爱吃，而且能让毛发柔亮，很喜欢。  ,https://shop.boqii.com/product-2976.html
蓝***主,5分,小包装不易霉变， 保持最佳口味。我家狗狗就爱吃宝路狗粮，它的口味就是我的选择。  ,https://shop.boqii.com/product-2976.html
美***7,5分,狗粮已收到，我们美妞很爱吃，而且，换了这个牌子狗粮以后，毛发越来越好，毛发非常揉軟，非常亮，便便颜色也清楚，这也购第二次。  ,https://shop.boqii.com/product-2976.html
美***7,5分,商家，不好意思，学网购不久，狗粮吃完要买了才来点评。我家美妞得喜欢吃。  ,https://shop.boqii.com/product-2976.html
m***6,5分,很棒棒哒。包装很好，没破损。封口也方便取用。赞！  ,https://shop.boqii.com/product-2976.html
r***3,5分,第一次买宝路，狗狗很爱吃，感觉已经变成宝路的粉啦  ,https://shop.boqii.com/product-2976.html
m***9,5分,一直买这个牌子的狗粮，老顾客了，日期新鲜！  ,https://shop.boqii.com/product-2976.html
m***3,5分,宝贝很喜欢吃，已经第二次买了，宝贝吃完小鼻子总是湿湿很健康，快递也特别快3天就到了，以后就这家了  ,https://shop.boqii.com/product-2976.html
m***7,5分,我开始还担心我买了两种不同的口味，怕它不吃，还好小狗爱吃。  ,https://shop.boqii.com/product-2976.html
情*,5分,不错，是正品，狗狗很喜欢吃，值得购买，良心评价，快递也给力，下次还会来买的，还送了六包小包的狗粮  ,https://shop.boqii.com/product-2976.html
m***5,5分,我的狗狗的东西都是波奇网购买，东西很齐全，价格也很适中，最重要的是东西质量信得过，真的很棒  ,https://shop.boqii.com/product-2976.html
嘎***子,5分,买来喂单位的流浪狗的，它都被我们喂刁嘴了，作为流浪狗连宝路狗粮都不好好吃了。  ,https://shop.boqii.com/product-2977.html
利***3,5分,昨天下单，今天中午就收到了，物流给力!\n这品牌的狗粮，是我家狗狗蛮喜欢的口粮.  ,https://shop.boqii.com/product-2977.html
m***2,5分,很好快递真的太快了，质量绝对放心，看着产品包装应该是正品，希望我家宝贝们喜欢吃。下次还会光顾。建议卖家适当的给送个小礼物或小玩具就更棒了。狗狗玩的开心我们就更喜欢到你家购物了。  ,https://shop.boqii.com/product-2977.html
小***狗,5分,一直购买，狗狗很爱吃  ,https://shop.boqii.com/product-2977.html
m***2,4分,买了  先试试觉得挺好  包装完美  如果使用好后续我就继续买  ,https://shop.boqii.com/product-2977.html
T***贝,5分,还好吧！我家狗子要吃的，也没什么不良反应，它喜欢就是好的了  ,https://shop.boqii.com/product-2977.html
m***5,5分,一直都是在超市买这个牌子的！今天在网上第一次买  ,https://shop.boqii.com/product-2977.html
b***2,5分,还不知道好不好，还没给狗狗吃呢。  ,https://shop.boqii.com/product-2977.html
m***3,5分,经常吃这种狗粮，几种口味混着喂，嘴太叨了，大品牌，值得信赖。  ,https://shop.boqii.com/product-2977.html
悠***2,5分,小家伙不爱吃狗粮，以前在别地买的，各种口味，软的硬的都试过，都不吃，这次看到有特价，特意买了让小家伙尝尝，一收到货就给它吃了，正赶上小家伙换牙嚼不动  ,https://shop.boqii.com/product-2977.html
m***4,5分,东西还可以，狗狗吃了二年了，非常爱吃，快递是垃圾，不送货上门，放在很远一家小店里了  ,https://shop.boqii.com/product-2977.html
梁***黑,5分,以前一直在超市买，现在知道有波奇网，并且经常搞活动，优惠力度又大，狗狗吃惯宝路，所以现在天天上波奇看看秒杀等己成习惯了。  ,https://shop.boqii.com/product-2977.html
安***安,5分,狗粮日期新鲜            活动价格优惠          狗狗很爱吃  ,https://shop.boqii.com/product-2977.html
金***2,5分,喜欢这款狗粮的大颗粒，家里狗子吃狗粮总是不嚼，这种大颗粒的狗粮最适合它了  ,https://shop.boqii.com/product-2978.html
w***s,5分,一直在波奇网购买毛孩子食品，性价比高，物流快～  ,https://shop.boqii.com/product-2978.html
長***央,5分,我一直在这里买宝贝的豆豆的。相信波奇。爱波奇。哈哈  ,https://shop.boqii.com/product-2978.html
m***7,5分,一直在吃哟，我家小球的最爱，赞一个！  ,https://shop.boqii.com/product-2978.html
狼***。,5分,很烦写评语，不写评价还不能提交，能不能修改一下，  ,https://shop.boqii.com/product-2978.html
渺***2,5分,其实这次算是买错，家里的狗狗才20斤，这包装一打开，才发现颗粒超级大。但没想到，狗狗居然挺接受这个口感，吃得挺好。小颗粒的狗狗吃了反而偶尔出现呛到的反应。价格也实惠，会再买、  ,https://shop.boqii.com/product-2978.html
狼***。,5分,东西都还不错，就是物流太差劲，写的很详细的地址，偏偏要送到离家很远的收货点，在这样下去不想在这app买东西了，宠物app不止这一个。  ,https://shop.boqii.com/product-2978.html
嚥***2,5分,我家狗挑食买了一堆  ,https://shop.boqii.com/product-2978.html
嚥***2,5分,买了两袋，挑食时拌着，我家太挑食了，狗粮不能固定一种  ,https://shop.boqii.com/product-2978.html
狼***。,5分,买很多次了，快过年了，趁有优惠活动多囤点货  ,https://shop.boqii.com/product-2978.html
m***2,5分,买的渴望和雪山还在十万八千里路上，已断粮，买这个暂时用着，宝宝愿意吃。还不错吧。。  ,https://shop.boqii.com/product-2978.html
m***1,5分,真心不错，就是有点少，当然不是不足斤的意思。  ,https://shop.boqii.com/product-2978.html
暴***哥,5分,本来打算买给土哥磨牙的，没想到居然太大颗他咬不动！！！What！身为一只刚成年的柴你居然咬不动着狗粮！真的让我静一静……  ,https://shop.boqii.com/product-2978.html
阿***米,5分,很好的一次购物体验！多次购买了！会继续回购！！波奇十二周年大卖！！  ,https://shop.boqii.com/product-2980.html
S***犬,5分,物流超给力，此湿粮是波奇兑换的，还未尝试过，希望狗狗能喜欢?  ,https://shop.boqii.com/product-2980.html
汤***语,5分,有真实的蟹肉 没有添加剂诱食剂什么的 很棒 小汤圆喝爱吃? 还会回购的  ,https://shop.boqii.com/product-2980.html
m***0,5分,买了一堆。是波奇网的老客户了，猫猫都吃他们家的东西。  ,https://shop.boqii.com/product-2980.html
m***2,5分,快递员态度很好，希小猫喜欢  ,https://shop.boqii.com/product-2980.html
尼***4,5分,收到了，用了抵用卷，花了6.2元！  ,https://shop.boqii.com/product-2980.html
o***i,5分,每次一拆开 猫咪就飞也是的奔过来了。。爱吃的不得了。。  ,https://shop.boqii.com/product-2980.html
黑***6,5分,对货品质量很满意，波奇这次的店庆回馈很厚道。  ,https://shop.boqii.com/product-2980.html
